"index","order_number","date","warehouse","client_type","product_line","quantity","unit_price","total","payment","payment_fee"
"0","N1","2021-06-01T00:00:00.000","North","Retail","Braking system","9","19.29","173.61","Cash","0"
"1","N2","2021-06-01T00:00:00.000","North","Retail","Suspension & traction","8","32.93","263.45","Credit card","0.03"
"2","N3","2021-06-01T00:00:00.000","North","Wholesale","Frame & body","16","37.84","605.44","Transfer","0.01"
"3","N4","2021-06-01T00:00:00.000","North","Wholesale","Suspension & traction","40","37.37","1494.8","Transfer","0.01"
"4","N5","2021-06-01T00:00:00.000","North","Retail","Frame & body","6","45.44","272.61","Credit card","0.03"
"5","N6","2021-06-02T00:00:00.000","North","Retail","Frame & body","1","40.41","40.41","Credit card","0.03"
"6","N7","2021-06-02T00:00:00.000","North","Retail","Miscellaneous","6","20.28","121.66","Credit card","0.03"
"7","N8","2021-06-03T00:00:00.000","North","Retail","Electrical system","9","20.5","184.54","Credit card","0.03"
"8","N9","2021-06-03T00:00:00.000","North","Retail","Suspension & traction","5","36.18","180.91","Credit card","0.03"
"9","N10","2021-06-03T00:00:00.000","North","Retail","Electrical system","5","28.33","141.67","Credit card","0.03"
"10","N11","2021-06-04T00:00:00.000","North","Retail","Suspension & traction","10","30.92","309.23","Credit card","0.03"
"11","N12","2021-06-04T00:00:00.000","North","Retail","Electrical system","5","20.16","100.81","Credit card","0.03"
"12","N13","2021-06-05T00:00:00.000","North","Wholesale","Electrical system","28","29.12","815.22","Transfer","0.01"
"13","N14","2021-06-05T00:00:00.000","North","Retail","Electrical system","7","32.31","226.19","Credit card","0.03"
"14","N15","2021-06-05T00:00:00.000","North","Wholesale","Suspension & traction","16","36.79","588.64","Transfer","0.01"
"15","N16","2021-06-05T00:00:00.000","North","Retail","Suspension & traction","5","32.15","160.76","Credit card","0.03"
"16","N17","2021-06-05T00:00:00.000","North","Retail","Suspension & traction","4","35.44","141.77","Credit card","0.03"
"17","N18","2021-06-06T00:00:00.000","North","Wholesale","Suspension & traction","32","34.82","1114.13","Transfer","0.01"
"18","N19","2021-06-06T00:00:00.000","North","Retail","Frame & body","1","35.89","35.89","Credit card","0.03"
"19","N20","2021-06-06T00:00:00.000","North","Retail","Braking system","5","15.16","75.78","Credit card","0.03"
"20","N21","2021-06-06T00:00:00.000","North","Retail","Braking system","7","15.43","108","Credit card","0.03"
"21","N22","2021-06-06T00:00:00.000","North","Retail","Frame & body","4","44.1","176.39","Credit card","0.03"
"22","N23","2021-06-07T00:00:00.000","North","Retail","Frame & body","9","43.49","391.42","Credit card","0.03"
"23","N24","2021-06-07T00:00:00.000","North","Retail","Suspension & traction","9","28.59","257.31","Credit card","0.03"
"24","N25","2021-06-07T00:00:00.000","North","Retail","Electrical system","4","29.62","118.48","Credit card","0.03"
"25","N26","2021-06-08T00:00:00.000","North","Retail","Frame & body","5","39.52","197.62","Cash","0"
"26","N27","2021-06-08T00:00:00.000","North","Retail","Electrical system","4","25.04","100.15","Credit card","0.03"
"27","N28","2021-06-08T00:00:00.000","North","Retail","Electrical system","3","29.93","89.8","Credit card","0.03"
"28","N29","2021-06-08T00:00:00.000","North","Retail","Frame & body","2","35.46","70.92","Credit card","0.03"
"29","N30","2021-06-09T00:00:00.000","North","Retail","Braking system","5","14.76","73.78","Credit card","0.03"
"30","N31","2021-06-10T00:00:00.000","North","Retail","Engine","2","56.04","112.09","Credit card","0.03"
"31","N32","2021-06-10T00:00:00.000","North","Retail","Suspension & traction","6","38.06","228.38","Cash","0"
"32","N33","2021-06-10T00:00:00.000","North","Wholesale","Frame & body","28","37","1035.91","Transfer","0.01"
"33","N34","2021-06-11T00:00:00.000","North","Retail","Miscellaneous","9","17.49","157.41","Cash","0"
"34","N35","2021-06-11T00:00:00.000","North","Retail","Braking system","1","23.28","23.28","Credit card","0.03"
"35","N36","2021-06-11T00:00:00.000","North","Retail","Braking system","5","10.63","53.16","Credit card","0.03"
"36","N37","2021-06-11T00:00:00.000","North","Retail","Suspension & traction","6","41.09","246.52","Credit card","0.03"
"37","N38","2021-06-11T00:00:00.000","North","Wholesale","Miscellaneous","24","21.42","514","Transfer","0.01"
"38","N39","2021-06-11T00:00:00.000","North","Retail","Frame & body","4","47.06","188.22","Credit card","0.03"
"39","N40","2021-06-12T00:00:00.000","North","Retail","Braking system","10","13.24","132.37","Credit card","0.03"
"40","N41","2021-06-12T00:00:00.000","North","Retail","Braking system","9","11.67","105.02","Credit card","0.03"
"41","N42","2021-06-12T00:00:00.000","North","Retail","Suspension & traction","10","39.78","397.78","Credit card","0.03"
"42","N43","2021-06-13T00:00:00.000","North","Retail","Electrical system","9","23.27","209.43","Credit card","0.03"
"43","N44","2021-06-13T00:00:00.000","North","Retail","Frame & body","7","40.93","286.51","Credit card","0.03"
"44","N45","2021-06-13T00:00:00.000","North","Retail","Suspension & traction","3","38.5","115.5","Credit card","0.03"
"45","N46","2021-06-13T00:00:00.000","North","Retail","Suspension & traction","6","28.91","173.46","Cash","0"
"46","N47","2021-06-14T00:00:00.000","North","Retail","Braking system","10","17.67","176.73","Credit card","0.03"
"47","N48","2021-06-14T00:00:00.000","North","Wholesale","Braking system","20","24.45","489","Transfer","0.01"
"48","N49","2021-06-15T00:00:00.000","North","Retail","Frame & body","7","36.52","255.62","Credit card","0.03"
"49","N50","2021-06-15T00:00:00.000","North","Retail","Electrical system","9","26.81","241.32","Credit card","0.03"
"50","N51","2021-06-15T00:00:00.000","North","Wholesale","Suspension & traction","36","39.87","1435.26","Transfer","0.01"
"51","N52","2021-06-15T00:00:00.000","North","Retail","Suspension & traction","6","26.9","161.43","Credit card","0.03"
"52","N53","2021-06-15T00:00:00.000","North","Retail","Braking system","2","22.3","44.59","Credit card","0.03"
"53","N54","2021-06-16T00:00:00.000","North","Wholesale","Suspension & traction","40","35.59","1423.73","Transfer","0.01"
"54","N55","2021-06-16T00:00:00.000","North","Retail","Frame & body","2","48.86","97.73","Credit card","0.03"
"55","N56","2021-06-17T00:00:00.000","North","Retail","Miscellaneous","10","26.87","268.68","Cash","0"
"56","N57","2021-06-17T00:00:00.000","North","Retail","Frame & body","3","37.62","112.85","Credit card","0.03"
"57","N58","2021-06-17T00:00:00.000","North","Retail","Frame & body","7","43.15","302.06","Cash","0"
"58","N59","2021-06-17T00:00:00.000","North","Retail","Suspension & traction","6","28.59","171.52","Credit card","0.03"
"59","N60","2021-06-18T00:00:00.000","North","Wholesale","Frame & body","24","48.18","1156.24","Transfer","0.01"
"60","N61","2021-06-18T00:00:00.000","North","Wholesale","Braking system","12","23.02","276.3","Transfer","0.01"
"61","N62","2021-06-18T00:00:00.000","North","Retail","Suspension & traction","5","29.38","146.93","Credit card","0.03"
"62","N63","2021-06-18T00:00:00.000","North","Retail","Suspension & traction","9","28.23","254.04","Credit card","0.03"
"63","N64","2021-06-19T00:00:00.000","North","Wholesale","Frame & body","16","44.54","712.69","Transfer","0.01"
"64","N65","2021-06-19T00:00:00.000","North","Retail","Braking system","6","24.85","149.1","Credit card","0.03"
"65","N66","2021-06-19T00:00:00.000","North","Retail","Suspension & traction","10","32.61","326.13","Credit card","0.03"
"66","N67","2021-06-19T00:00:00.000","North","Retail","Miscellaneous","8","18.98","151.84","Credit card","0.03"
"67","N68","2021-06-19T00:00:00.000","North","Retail","Frame & body","10","44.03","440.32","Cash","0"
"68","N69","2021-06-19T00:00:00.000","North","Retail","Suspension & traction","9","34.68","312.1","Credit card","0.03"
"69","N70","2021-06-19T00:00:00.000","North","Retail","Miscellaneous","6","21.88","131.28","Credit card","0.03"
"70","N71","2021-06-19T00:00:00.000","North","Wholesale","Suspension & traction","12","26.99","323.88","Transfer","0.01"
"71","N72","2021-06-20T00:00:00.000","North","Wholesale","Braking system","32","18.98","607.36","Transfer","0.01"
"72","N73","2021-06-20T00:00:00.000","North","Retail","Suspension & traction","10","37.06","370.58","Credit card","0.03"
"73","N74","2021-06-20T00:00:00.000","North","Wholesale","Electrical system","16","25.92","414.67","Transfer","0.01"
"74","N75","2021-06-20T00:00:00.000","North","Retail","Frame & body","2","48.86","97.71","Cash","0"
"75","N76","2021-06-21T00:00:00.000","North","Retail","Miscellaneous","3","22.45","67.34","Credit card","0.03"
"76","N77","2021-06-21T00:00:00.000","North","Retail","Electrical system","7","25.53","178.7","Cash","0"
"77","N78","2021-06-21T00:00:00.000","North","Retail","Suspension & traction","6","37.99","227.95","Credit card","0.03"
"78","N79","2021-06-21T00:00:00.000","North","Wholesale","Braking system","8","14.39","115.15","Transfer","0.01"
"79","N80","2021-06-21T00:00:00.000","North","Retail","Suspension & traction","6","37.2","223.22","Credit card","0.03"
"80","N81","2021-06-22T00:00:00.000","North","Retail","Suspension & traction","3","30.11","90.34","Credit card","0.03"
"81","N82","2021-06-22T00:00:00.000","North","Retail","Suspension & traction","9","37.44","337","Credit card","0.03"
"82","N83","2021-06-23T00:00:00.000","North","Retail","Miscellaneous","9","21.27","191.44","Credit card","0.03"
"83","N84","2021-06-23T00:00:00.000","North","Retail","Suspension & traction","6","36.01","216.06","Credit card","0.03"
"84","N85","2021-06-23T00:00:00.000","North","Retail","Engine","5","65.99","329.96","Cash","0"
"85","N86","2021-06-23T00:00:00.000","North","Retail","Braking system","1","13.44","13.44","Credit card","0.03"
"86","N87","2021-06-23T00:00:00.000","North","Retail","Miscellaneous","6","29.76","178.53","Credit card","0.03"
"87","N88","2021-06-23T00:00:00.000","North","Retail","Engine","4","59.69","238.77","Credit card","0.03"
"88","N89","2021-06-23T00:00:00.000","North","Retail","Braking system","5","11.32","56.62","Cash","0"
"89","N90","2021-06-24T00:00:00.000","North","Retail","Braking system","8","22.78","182.24","Credit card","0.03"
"90","N91","2021-06-24T00:00:00.000","North","Retail","Frame & body","10","46.46","464.62","Credit card","0.03"
"91","N92","2021-06-24T00:00:00.000","North","Wholesale","Electrical system","32","24.77","792.64","Transfer","0.01"
"92","N93","2021-06-24T00:00:00.000","North","Retail","Electrical system","8","18.43","147.41","Credit card","0.03"
"93","N94","2021-06-24T00:00:00.000","North","Retail","Electrical system","5","29.58","147.92","Credit card","0.03"
"94","N95","2021-06-25T00:00:00.000","North","Wholesale","Frame & body","16","40.01","640.13","Transfer","0.01"
"95","N96","2021-06-25T00:00:00.000","North","Retail","Suspension & traction","4","35","140.01","Cash","0"
"96","N97","2021-06-25T00:00:00.000","North","Retail","Braking system","1","20.68","20.68","Cash","0"
"97","N98","2021-06-25T00:00:00.000","North","Retail","Suspension & traction","9","29.37","264.34","Credit card","0.03"
"98","N99","2021-06-25T00:00:00.000","North","Wholesale","Suspension & traction","12","33.88","406.6","Transfer","0.01"
"99","N100","2021-06-26T00:00:00.000","North","Retail","Braking system","1","11.89","11.89","Credit card","0.03"
"100","N101","2021-06-26T00:00:00.000","North","Retail","Braking system","1","10.35","10.35","Credit card","0.03"
"101","N102","2021-06-26T00:00:00.000","North","Retail","Electrical system","7","25.28","176.97","Cash","0"
"102","N103","2021-06-27T00:00:00.000","North","Retail","Engine","8","59.7","477.63","Credit card","0.03"
"103","N104","2021-06-27T00:00:00.000","North","Retail","Electrical system","1","28.88","28.88","Credit card","0.03"
"104","N105","2021-06-27T00:00:00.000","North","Retail","Frame & body","5","38.71","193.54","Cash","0"
"105","N106","2021-06-27T00:00:00.000","North","Retail","Braking system","7","17.38","121.66","Credit card","0.03"
"106","N107","2021-06-27T00:00:00.000","North","Retail","Miscellaneous","6","26.95","161.71","Credit card","0.03"
"107","N108","2021-06-27T00:00:00.000","North","Retail","Suspension & traction","2","27","54.01","Credit card","0.03"
"108","N109","2021-06-28T00:00:00.000","North","Retail","Miscellaneous","7","15.26","106.79","Credit card","0.03"
"109","N110","2021-06-28T00:00:00.000","North","Retail","Suspension & traction","8","29.03","232.24","Credit card","0.03"
"110","N111","2021-06-29T00:00:00.000","North","Retail","Frame & body","4","37","148.01","Credit card","0.03"
"111","N112","2021-06-29T00:00:00.000","North","Retail","Braking system","9","22.21","199.86","Credit card","0.03"
"112","N113","2021-06-29T00:00:00.000","North","Wholesale","Frame & body","20","37.99","759.77","Transfer","0.01"
"113","N114","2021-06-29T00:00:00.000","North","Wholesale","Suspension & traction","20","39.56","791.23","Transfer","0.01"
"114","N115","2021-06-29T00:00:00.000","North","Retail","Electrical system","1","23.1","23.1","Credit card","0.03"
"115","N116","2021-06-30T00:00:00.000","North","Wholesale","Suspension & traction","12","40.63","487.56","Transfer","0.01"
"116","N117","2021-07-01T00:00:00.000","North","Retail","Suspension & traction","1","36.06","36.06","Credit card","0.03"
"117","N118","2021-07-01T00:00:00.000","North","Wholesale","Suspension & traction","16","28.46","455.39","Transfer","0.01"
"118","N119","2021-07-01T00:00:00.000","North","Retail","Braking system","8","16.89","135.12","Cash","0"
"119","N120","2021-07-02T00:00:00.000","North","Wholesale","Frame & body","28","44.92","1257.76","Transfer","0.01"
"120","N121","2021-07-02T00:00:00.000","North","Retail","Miscellaneous","5","15.7","78.53","Credit card","0.03"
"121","N122","2021-07-02T00:00:00.000","North","Wholesale","Engine","16","62.95","1007.15","Transfer","0.01"
"122","N123","2021-07-03T00:00:00.000","North","Wholesale","Braking system","40","15.52","620.87","Transfer","0.01"
"123","N124","2021-07-03T00:00:00.000","North","Wholesale","Frame & body","32","41.92","1341.44","Transfer","0.01"
"124","N125","2021-07-03T00:00:00.000","North","Retail","Miscellaneous","10","15.16","151.6","Cash","0"
"125","N126","2021-07-03T00:00:00.000","North","Retail","Engine","1","53.06","53.06","Credit card","0.03"
"126","N127","2021-07-04T00:00:00.000","North","Retail","Braking system","10","19.58","195.75","Cash","0"
"127","N128","2021-07-04T00:00:00.000","North","Retail","Miscellaneous","5","17.88","89.4","Credit card","0.03"
"128","N129","2021-07-04T00:00:00.000","North","Retail","Suspension & traction","10","37.13","371.3","Credit card","0.03"
"129","N130","2021-07-04T00:00:00.000","North","Retail","Suspension & traction","7","40.81","285.69","Credit card","0.03"
"130","N131","2021-07-04T00:00:00.000","North","Retail","Braking system","5","21.17","105.85","Credit card","0.03"
"131","N132","2021-07-05T00:00:00.000","North","Wholesale","Electrical system","28","20.87","584.36","Transfer","0.01"
"132","N133","2021-07-05T00:00:00.000","North","Retail","Braking system","4","16.44","65.75","Credit card","0.03"
"133","N134","2021-07-05T00:00:00.000","North","Retail","Electrical system","7","29.1","203.68","Credit card","0.03"
"134","N135","2021-07-05T00:00:00.000","North","Retail","Frame & body","5","40.51","202.55","Credit card","0.03"
"135","N136","2021-07-05T00:00:00.000","North","Wholesale","Suspension & traction","4","36.99","147.97","Transfer","0.01"
"136","N137","2021-07-06T00:00:00.000","North","Wholesale","Suspension & traction","8","28.48","227.85","Transfer","0.01"
"137","N138","2021-07-06T00:00:00.000","North","Retail","Braking system","1","13.44","13.44","Credit card","0.03"
"138","N139","2021-07-06T00:00:00.000","North","Retail","Miscellaneous","1","27.98","27.98","Credit card","0.03"
"139","N140","2021-07-06T00:00:00.000","North","Retail","Frame & body","3","45.87","137.6","Cash","0"
"140","N141","2021-07-06T00:00:00.000","North","Retail","Suspension & traction","6","29.32","175.91","Credit card","0.03"
"141","N142","2021-07-07T00:00:00.000","North","Retail","Engine","5","55.95","279.73","Credit card","0.03"
"142","N143","2021-07-07T00:00:00.000","North","Wholesale","Suspension & traction","24","31.24","749.76","Transfer","0.01"
